가수명,노래제목,발매일,가사,좋아요수,순위
이적,빨래,2010-09-10,빨래를 해야겠어요오후엔 비가 올까요그래도 상관은 없어요 괜찮아요뭐라도 해야만 할 것 같아요그러면 나을까 싶어요잠시라도모두 잊을 수 있을 지 몰라요그게 참 마음처럼쉽지가 않아서그게 참 말처럼되지가 않아서무너진 가슴이다시 일어설 수 있게난 어떡해야 할까요어떻게 해야만 할까요그대가 날 떠난 건지내가 그댈 떠난 건지일부러 기억을 흔들어 뒤섞어도금새 또 앙금이 가라앉듯다시금 선명해져요잠시라도 모두잊을 수 있을까 했는데그게 참 마음처럼쉽지가 않아서그게 참 말처럼되지가 않아서무너진 가슴이다시 일어설 수 있게난 어떡해야 할까요어떻게 해야만 할까요뒤집혀버린 마음이사랑을 쏟아내도록그래서 아무 것도 남김 없이비워내도록난 이를 앙 다물고 버텨야 했죠하지만 여태 내 가슴 속엔그게 참 말처럼쉽게 되지가 않아서무너진 가슴이다시 일어설 수 있게난 어떡해야 할까요어떻게 해야만 할까요빨래를 해야겠어요오후엔 비가 올까요,43110,801
김진호 (SG워너비),가족사진,2013-02-14,바쁘게 살아온 당신의젊음에 의미를 더해줄아이가 생기고그날에 찍었던 가족사진속에 설레는 웃음은빛바래 가지만어른이 되어서 현실에던져진 나는 철이없는아들이 되어서이곳저곳에서 깨지고 또일어서다 외로운 어느날꺼내본 사진속아빠를 닮아있네내 젊음 어느새 기울어갈때쯤 그제야 보이는당신의 날들이가족사진속에 미소띈 젊은아가씨에 꽃피던 시절은나에게 다시 돌아와서나를 꽃피우기 위해 거름이되어버렸던 그을린 그시간들을 내가 깨끗이 모아서 당신의 웃음 꽃 피우길피우길 피우길 피우길 피우길,78724,802
장나라,Sweet Dream,2002-10-02,It's gonna be another day with a sunshine 햇살은 나의 창을 밝게 비추고 반쯤 눈을 떴을 때 그대 미소가 나를 반겨요 내 볼에 살짝 입맞추고 사랑한다고 속삭였죠 내 머리 맡에 모닝커피 혹시 내가 꿈을 꾸나요 It's gonna be another day with a sunshine 햇살은 나의 창을 밝게 비추고 반쯤 눈을 떴을 때 그대 미소가 나를 반겨요 When we can get together I feel paradise 이보다 더 행복할수는 없겠죠 아마 그럴거예요 지금 내 곁에 그대가 있잖아요 너무 흔해서 나 조차도싫어했었던 내 이름도 왠지 그대가 불러주면 예쁘게만 느껴지네요 It's gonna be another day with a sunshine 그대가 나를 아름답게 하네요 나를 안아줄래요 사랑한다고 말해줄께요 When we can get together I feel paradise 마치 난 영화속에 주인공처럼 사랑받기 위해서 그대 맘속에 다시 태어난거죠 지금 이순간 나보다 행복한 사람은 없겠죠 깨지 않게 해줘요 Don't Break it 난 이 꿈안에서 It's gonna be another day with a sunshine 햇살은 나의 창을 밝게 비추고 반쯤 눈을 떴을 때 그대 미소가 나를 반겨요 When we can get together I feel paradise 이보다 더 행복할수는 없겠죠 아마 그럴거예요 지금 내 곁에 그대가 있잖아요 It's gonna be another day with a sunshine 그대가 나를 아름답게 하네요 나를 안아줄래요 사랑한다고 말해줄게요 When we can get together I feel paradise 마치 난 영화속에 주인공처럼 사랑받기 위해서 그대 맘속에 다시 태어난거죠,30045,803
바이브,미워도 다시 한번 (Original Ver.),2002-02-01,잘 지내고 있는 거겠죠좀 처럼 연락이 없네요 요즘 많이 바쁜가봐요 이미 다른 사람 품에 안긴 너인데 나 미워도 다시 한번만 나 싫어도 다시 한번만 내 꿈속에 나타나줘요이미 돌아올 수 없을만큼 떠난 너인데 I need U baby bye bye bye 가야만하니 why why why 그 모든 말은 lie lie lie 오늘도 눈물 나는게 슬퍼서 bye bye bye 가야만하니 why why why 의외로 참아내기가 힘이들어 돌아와줘 미워도 다시 한번만어쩌면 많이 변했겠지 어쩔 수가 없겠지 아직도 나를 용서할 수 없겠지 내가 미쳤었나봐 너무 늦었나봐 다시는 너를 볼 수가 없나봐 왜 자꾸만 멀어지는건데 왜 자꾸만 잊혀지는건데 이렇게 너무 쉽게 헤어졌 다는게 믿을 수 없어 견딜 수가 없어비오는 명동을 걸었죠 그대 생각이 많이 나네요 이런 생각하면 바보 같지만 저기 먼곳에서 그대 다시 올 것만 같아 I need U baby bye bye bye 가야만 하니 why why why 그 모든 말은 lie lie lie 오늘도 눈물 나는게 슬퍼서 bye bye bye 가야만 하니 why why why 의외로 참아 내기가 힘이 들어 돌아와줘 미워도 다시 한번만 하지만 그댈 잊어야만 하는 나 우-I miss U baby bye bye bye 영원히 그대 bye bye bye 가야만 하니 why why why 그 모든 말은 lie lie lie i miss U baby girl 너무 많이 보고 싶어요 오 제발 이런 나를 용서해줘요 미워도 다시 한번만 -,35297,804
왁스,화장을 고치고,2001-08-09,우연히 날 찾아와 사랑만 남기고 간 너  하루가 지나 몇 해가 흘러도  아무 소식도 없는데 세월에 변해버린  날 보면 실망할까봐 오늘도 나는  설레이는 맘으로 화장을 다시 고치곤해  아무것도 난 해준게 없어  받기만 했을뿐 그래서 미안해  나같은 여자를 왜 사랑했는지  왜 떠나야 했는지 어떻게든  우린 다시 사랑해야 해   살다가 널 만나면  모질게 따지고 싶어 힘든 세상에  나홀로 남겨두고 왜 연락 한번 없었느냐고  아무것도 난 해준게 없어 받기만 했을뿐  그래서 미안해 나같은 여자를  왜 사랑했는지 왜 떠나야 했는지  어떻게든 우린 다시 사랑해야해  그땐 너무 어려서 몰랐던 사랑을  이제야 알겠어- 보잘것 없지만  널 위해 남겨둔 내 사랑을 받아줘  어떻게든 우린 다시 사랑해-야해,27756,805
케이윌,꽃이 핀다,2015-03-25,바람꽃이 날리고 해가 길어져 가고이젠 이 길을  밤새 걸어도 걸어도 손 끝이 시리지가 않아 무거운 너의 이름이 바람에 날아오르다또 다시 내 발끝에 떨궈져 아직 너도 날 떠나지 않는 걸까 아주 가끔은 널 잊고  하루가 지나고 아주 가끔은 너 아닌  다른 사람을 꿈꿔도 나의 마음에선  너란 꽃이 자꾸 핀다 가슴에 no no no no 아픈 니가 핀다아무도 모를 만큼만 그리워하며 살았어소리 내 울었다면 난 지금 너를 조금 더 잊을 수 있었을까 아주 가끔은 널 잊고  하루가 지나고 아주 가끔은 너 아닌  다른 사람을 꿈꿔도 나의 마음에선  너란 꽃이 자꾸 핀다 가슴에 no no no no 아픈 니가 핀다 나의 입술로너의 마음을 말하다 운다우리 사랑이 멀리 흩어져 간다너 하나쯤은 가슴에 묻을 수 있다고계절 몇 번을 못 지나 잊을 거라 믿었는데지금 이 거리엔 너를 닮은 꽃이 핀다또 다시 no no no no시린 봄이 온다,82547,806
2NE1,You And I,2010-09-09,No mater what happenseven when the skys falling downl promise youthat I will never let you goOh Oh Oh Yeah YeahYou 내가 쓰러질 때절대 흔들림없이 강한 눈빛으로몇 번이고 날 일으켜줘And You 나 힘에 겨울 때슬픔의 벼랑 끝까지 또 어김없이찾아와 두 손 잡은 그대에게난 해준게 없는데 초라한 나지만오늘 그대 위해 이 노랠 불러요Tonight 그대의 두눈에그 미소 뒤에날 위해 감춰 왔던 아픔이 보여요You and I togetherit's just feel so right이별이란 말은 never그 누가 뭐라해도 난 그댈 지킬게You and l together내 두 손을 놓지 마안녕이란 말은 never내게 이 세상은 오직 너하나기에다른 많은 사람처럼우리 사랑 역시 조금씩 변하겠죠하지만 제발 슬퍼말아요오랜 친한 친구처럼나만은 믿을 수 있게 기댈 수 있게I promise you thatl'll be right here baby난 해준게 없는데 초라한 나지만오늘 그댈 위해 이 노래 불러요Tonight 그대의 두 눈에그 미소 뒤에 날 위해감춰왔던 아픔이 보여요You and l togetherit's just feel so right이별이란 말은 never그 누가 뭐라 해도 난 그댈 지킬게You and l together내 두 손을 놓지 마안녕이란 말은 never내게 이 세상은 오직 너하나기에외로운 밤이 찾아올 땐나 살며시 눈을 감아요그대의 숨결이 날 안을 때무엇도 두렵지 않죠이 세상 그 어떤 누구도그대를 대신할 수 없죠You are the only oneand l'll be there for you babyYou and l togetherit's just feel so right이별이란 말은 never그 누가 뭐라 해도 난 그댈 지킬게You and l together내 두 손을 놓지 마안녕이란 말은 never내게 이 세상은 오직 너와 나기에Just you and IForever and ever,17785,807
이승철,아마추어,2012-09-28,살며 살아 가는 행복 눈을 뜨는 것도 숨이 벅찬것도 고된 하루가 있다는 행복을 나는 왜 몰랐을까 나나 나나 나나 난나나나 아직 모르는게 많아 내세울 것 없는 실수투성이 아직 넘어야 할 산은 많지만 그냥 즐기는거야 아무도 가르쳐 주지 않기에 모두가 처음 서 보기 때문에 우리는 세상이란 무대에선 모두다 같은 아마추어야 나나 나나 나나 나나 나나나 지쳐 걸어갈 수 있고 아이 눈을 보며 웃을 수 있고 조금 늦어져도 상관없잖아 그냥 즐기는거야 아무도 가르쳐 주지 않기에 모두가 처음 서보기 때문에 우리는 세상이란 무대에선 모두다 같은 아마추어야 어디로 가야할지 몰라서 길을 찾아 내 꿈을 찾아서 나의 길을 가면 언젠가 꿈이 나를 기다리겠지 아무도 가르쳐 주지 않기에 모두가 처음 서보기 때문에 우리는 세상이란 무대에선 모두다 같은 아마추어야 아무도 가르쳐 주지 않기에 모두가 처음 서보기 때문에 우리는 세상이란 무대에선 모두다 같은 아마추어야When I am dreaming  and I have wishes We will be together  in our lives dreams come true When I am dreaming  and I have wishes We will be together  in our lives dreams  dreams come true,43193,808
알리 (ALi),서약 (황금무지개 유이&정일우 러브테마),2014-02-14,한사람만 사랑하게 해 주소서흔들리지 않는 맘을 내게 주소서흐르는 강물처럼 영원하기를내 마지막 사랑이 그대이길내 숨이 다하는 날까지 그대만을사랑하다 죽으렵니다두렵지 않게 해 주소서 그대를 믿어요그 손 놓지 않을께요그대라는 선물이 고맙습니다그대앞에 모든 것을 내려 놓고서영원히 사랑할 것을 약속합니다그대가 내 삶이기에내 숨이 다하는 날까지 그대만을사랑하다 죽으렵니다두렵지 않게 해 주소서 그대를 믿어요그 손 놓지 않을께요사랑하는 그대와 같이 늙어 갈수 있다면함께 밥을 해먹고 그 품에 잠들수 있다면사랑은 주는거니까 아파도 주는거니까그대를 사랑합니다 죽어도 사랑합니다세월따라 모두 떠나도 내맘속엔그대만 피고 집니다다시 내가 태어 난대도 그대를 만나서사랑하다 죽으렵니다,36165,809
진원,고칠게,2008-04-16,요즘 너무나 니가 낯설게 느껴져어제는 전화도 한번 없었지어디니 밥은 먹었냐고 묻는상냥한 니 말 기다렸는데아무 말도 없는 너를 보면 느껴내가 알던 니가 맞는 건지다른 사람 네게 생긴 건지이제 더 이상 날 사랑하지 않니우리 이별인 거니왜 내가 싫어졌는지내게 말해줄 순 없니자꾸만 전화해서 귀찮아진 거니아직도 난 너를 사랑하고 있는데난 어떡해 난 어떡해내가 뭘 잘못한 건지왜 내가 싫증났는지뭘 내가 잘못하고 있는 거라면말해줄래 너가 말하는그 모습처럼 고칠게다 고칠게 떠나지마나는 아직도 니가 내 것만 같은데오늘도 내게 전화를 걸어서잘자라 오늘밤 꿈에서 보잔달콤한 말 해 줄 것 같은데왜 내가 싫어졌는지내게 말해줄 순 없니자꾸만 전화해서 귀찮아진 거니아직도 난 너를 사랑하고 있는데난 어떡해 난 어떡해내가 뭘 잘못한 건지왜 내가 싫증났는지뭘 내가 잘못하고 있는 거라면말해줄래 너가 말하는그 모습처럼 고칠게다 고칠게왜 그리 차가운 건지예전의 니가 맞는지너 전에 만나던 그 사람 때문이니말해줄래 너가 만나는 그 사람처럼고칠게 다 고칠게 떠나지마,54482,810
임재범,위로,2022-06-16,숨죽여 울지 마요그 불 꺼진 방안에서알아요 알아요얼마나 힘든가요물 새듯 빠져나간그 희망과 노력들이허한 표정과 한숨 남겨줬나요그댄 충분히 잘하고 있어요괜찮아요 쉬어가도끝난 게 아니니까캄캄한 아침 무거운 매일끝없는 미로 속을 걷는 우리들허나 결국 그대는 답을 찾을 거예요같이 울고 같이 들고 같이 가면덜 지치고 덜 외롭게 걸어요터지는 생각들로잠 못 들고 힘든가요알아요 그 마음나 또한 늘 그랬죠가슴 속 불덩이가자던 숨을 짓누르면뛰쳐나가 밤새 뛰던 미친 밤그댄 넘치게 잘하고 있어요괜찮아요 틀렸어도끝난 게 아니니까캄캄한 아침 무거운 매일끝없는 미로 속을 걷는 우리들허나 결국 그대는 답을 찾을 거예요비춰주고 잡아주며 같이 가요사람마다 계절이 있어요내 계절에 활짝 피게정신은 맑게 햇빛에 서서그때를 기다려요소중한 사람그댄 빛나는 사람조금만 더 힘내요같이 울고 같이 들고 같이 가면덜 지치고 덜 외롭게 걸어요,3724,811
엠씨더맥스 (M.C the MAX),그대는 눈물겹다,2003-12-11,나에게 곧 올거라고 믿고 있었죠 눈물겨운 기다림을 아는지 나처럼 그대도 많이 힘들 거라고 눈물겨운 착각 속에 난 살고 있었죠 오늘까지내것이었던 그대가 스쳐가요 이름 조차도 부를수가 없었죠 멈춰있던 나를 그대가 보네요 이미 누군가의 그대가 된 듯 괜찮아요 난 그냥 지나치세요 괜찮아요 난 그대 행복 봤으니 잠시 스쳐갔던 그대 모습으로 다시 한동안은 견딜 수 있겠죠 얼마나 스치는 우연 바랬었는데 모른채로 살아가야 하는지 나처럼 아프게 살길 바랬었나 봐 그런 못된 욕심부린 나 이런 아픔만 남았네요내것이었던 그대가 스쳐가요 이름 조차도 부를수가 없었죠 멈춰있던 나를 그대가 보네요 이미 누군가의 그대가 된 듯 괜찮아요 난 그냥 지나치세요 괜찮아요 난 그대 행복 봤으니 잠시 스쳐갔던 그대 모습으로 다시 한동안은 견딜 수 있겠죠 하늘 마저 내게 말해 주나봐 그댄 이미 행복해져 있다고 너무 익숙한 그 향기가 익숙한 그 표정이 익숙한 그 모든게 멀어져괜찮아요 난 다시 그댈 보내도 괜찮아요 난 눈물로 또 살아도 나를 잊기위해 누굴 만났다고 그렇게라도 나 살아갈 수 있죠,37715,812
이진재,내가 다 미안해,2020-05-06,니가 울던 날 안아주지 못했던 거괜히 짜증 부리고 화냈던 거바쁘단 핑계로 올해도너의 생일 제대로 챙겨주지 못한 거가끔 힘들단 너의 맘 몰라줬던 거내가 더 힘들다며 피했던 거심하게 다투던 날이면헤어져 말했던 거 내가 다 미안해어딨니 이 노래 듣고 있다면내게 연락해 다시 시작하자울지 말고 바보야 지금 나 달려갈게용서해줘 내가 다 미안해1년 되던 날 그 흔한 꽃 한 송이와고맙다는 말 한번 못했던 거니가 많이 아플 때에도 모르고내가 그래 내가 다 미안해어딨니 이 노래 듣고 있다면내게 연락해 다시 시작하자울지 말고 바보야 지금 나 달려갈게용서해줘 내가 다 미안해이별한 줄도 모르고하루면 널 찾을 거면서너 역시 그럴 거라고나 없인 안될 거라고미련하게도 믿었었어잘할게 사랑할 자격 없지만너의 곁에서 같이 울어줄게어딜가도 그립다 니가 많이 그립다우리 정말 헤어진 거니어딨니 이 노래 듣고 있다면내게 연락해 다시 시작하자울지 말고 바보야 지금 나 달려갈게용서해줘 내가 다 미안해누구보다 사랑할 텐데,13511,813
케이시 (Kassy),행복하니,2020-10-26,너와 나 헤어지는 게서로에게 좋다고최선이라고 생각했어그때 우린 많이 지쳐서더는 상처 밖에 못줄 테니더 좋은 사람이 될게더 행복하길 바래마지막에 니가 한 이 말지금의 너는 변했는지어떻게 어떤 사랑을 하고 있니넌 행복하니 좋은 사람 만나 잘 지내니널 웃게 하고 기댈 수 있는그런 사람이니정말 행복하니 그 사람 꼭 나보다더 널 사랑해 주길 이미 그렇겠지만여전히 난 바본가 봐우리의 이별 말고도넌 참 힘들었는데차마 위로해 주지 못했어다시 욕심이 생길까 봐계속 네 곁에 있고 싶을까 봐넌 행복하니 좋은 사람 만나 잘 지내니널 웃게 하고 기댈 수 있는그런 사람이니정말 행복하니 그 사람 꼭 나보다더 널 사랑해 주길 이미 그렇겠지만끝까지 난 바본가 봐넌 꼭 행복해 줘네 덕분이야 나도 이렇게 누군가를사랑할 수 있어서사랑받을 수 있어서그걸로도 난 충분해,24365,814
주호,바래다주던 길,2018-12-13,찬바람이 불어와 내 옷깃을 스치면잊고 있던 추억들이 하나 둘 생각나지금 생각 그대로 그때로 돌아간다면우린 달랐을까무심코 걷다가문득 니 생각이나발걸음은 느려져머릿속은 눈이 내린 듯새하얘져 차라리헤어지던 그 순간이라도돌아갈 수만 있다면 내가널 바래다주던 익숙한 골목그 골목 어딘가매번 서 있던 그 자리한번쯤 마주 칠까봐날보고 흔들릴까봐혼자 기다려 보곤 해 널 다시 만나게 되면그땐 못했던 그 말 꼭 해주고픈 말널 사랑한다고 아직 못 잊겠다고여전히무심코 걷다가문득 내 생각이 날 때면발걸음이 느려져머릿속이 눈이 내린 듯새하얘진다면아팠었던 추억들이라도떠올려줄 수 있겠니 그때널 바래다주던 익숙한 골목그 골목 어딘가매번 서 있던 그 자리한번쯤 마주 칠까봐날 보고 흔들릴까봐혼자 기다려 보곤 해널 다시 만나게 되면그땐 못했던 그 말 꼭 해주고픈 말널 사랑한다고 아직 못 잊겠다고끝까지 잘해주지 못한 기억들만 남아행복 하라는 말은 못해 아직은 내 맘부서진 조각들이 남아잊혀 지지가 않아날 바라봐 주던 익숙한 골목그 골목 어딘가매번 서 있던 그 자리한번쯤 마주 칠까봐날 보고 흔들릴까봐혼자 기다려 보곤 해널 다시 만나게 되면그땐 못했던 그 말 꼭 해주고픈 말널 사랑한다고 아직 못 잊겠다고여전히,14126,815
폴킴,사랑하는 당신께,2021-02-25,사랑하는 당신께하고픈 말이 있소잠시 여기 내 옆에 앉아내 얘기 좀 들어주오어쩌다 우리가이리도 가까워지게 됐는지난 아직도 믿기질 않소그대는 어찌 생각하오사랑을 찾아 떠돌던 길에잠시 머문 줄 알았건만그대 없인 더는 그릴 수 없는내일이 올 줄 누가 알았소당신 돌아오기만목놓아 기다리다처음 만난 그날 일들이문득 생각이 났다오모른 척 건넨 편지에 쓰인고민을 모를 리 없겠지만서툰 진심 종이 가득히 담긴나의 마음 꼭 알아주시오내 곁에 잠든 그댈 보면눈가에 맺히는 그 말세상 끝에 서게 되더라도당신을 사랑해사랑하는 님아하고픈 말이 있소,35635,816
공기남,"Gloomy Star (Feat. 1ho, Chan)",2018-08-09,멜로 영화에서 바라보는 주인공처럼 그냥 우연히 걸어가다 널 만나고 싶어 우린 각자 다른 장소에서 서로를 그리다 생각지도 않게 꿈꿔왔던 네가 내 앞에 나타나줬으면 해 평범한 일상을 보내다가 문득 외로워 혼자 아무렇지 않게 지내다 문득 서러워 우린 각자 다른 장소에서 서로를 그리다 우연인거처럼 바래왔던 네가 내 앞에 나타나 줬으면 해 가끔 지나치는 인연들 사이에 네가 있었을까 좀 특별하게 생각했던 건 아닐까 요즘 들어 어렵다고 생각이 자꾸 들어요 캄캄한 이 밤 달이 밝지 않은 밤 그대가 비춰준다면 비춰준다면 외로운 이 밤 조금도 즐겁지 않은 밤 날 비춰졌으면 비춰졌으면 좋겠어 가끔 지나치는 인연들 사이에 네가 있었을까 좀 특별하게 생각했던 건 아닐까 요즘 들어 어렵다고 생각이 자꾸 들어요 캄캄한 이 밤 달이 밝지 않은 밤 그대가 비춰준다면 비춰준다면 외로운 이 밤 조금도 즐겁지 않은 밤 날 비춰졌으면외로운 이 밤 조금도 즐겁지 않은 밤 날 비춰졌으면 비춰졌으면 좋겠어Gloomy star Same as me and Same as me and Gloomy moon Just like Look like meGloomy starSame as me andSame as me andGloomy moonJust like Look like me,63415,817
벤,안갯길 (Prod. By 진영(B1A4)),2016-09-13,뿌옇게 흐려져만 가는우리 기억처럼하얀 안개 속에 서있죠내 눈앞에 흐려져만 가는밝게 웃던 그대 모습이잊혀질까봐 겁이나눈을 감아도 그대가 보이네요그리워하는 이 맘 그댄 아나요안갯길 넘어 그대가날 찾고 있다면달빛이 그린 저 길을따라와 줄래요우리 다시 봄날의 꽃을피울 수만 있다면돌아갈 수 있다면 좋을텐데조금씩 시간이 지나면우리의 아픔도안개처럼 흐려질까요새까맣게 짙어져만 가는기억속의 그대 모습이지워질까봐 겁이나눈을 감아도 그대가 보이네요그리워하는 이 맘 그댄 아나요안갯길 넘어 그대가날 찾고 있다면달빛이 그린 저 길을따라와 줄래요우리 다시 봄날의 꽃을피울 수만 있다면돌아갈 수 있다면 좋을텐데앞이 보이지 않아눈앞이 흐려져도눈을 감으면 고인눈물이 흘러넘쳐도언젠가는 그대 앞에내가 서있을게요화려하지 않아도우리 사랑은 참 좋았잖아요안갯길 넘어 그대가날 찾고 있다면달빛이 그린 저 길을따라와 줄래요우리 다시 봄날의 꽃을피울 수만 있다면돌아갈 수 있다면 좋을텐데뿌옇게 흐려져만 가는우리 기억처럼하얀 안개 속에 서있죠,73215,818
김도환,서로 다른 이별,2017-03-02,마지막이었을까 우리 만남이너라는 모든 모습이 낯설어나와 이별을 준비하는너의 모습이내 가슴을 미어지게 하더라떠나지 말라며수천 번을 외쳐봐도슬픈 눈으로 날 떠나가잖아행복했던 우리 추억들도아무 일도 없었던 것처럼모든 게 다 그리워서하염없이 눈물만 흘리는데한번쯤은 하고 싶었던 말나보다 더 행복 하란 아픈 말고마웠어 나와 함께 해줘서떠나지 말라며수천 번을 외쳐봐도슬픈 눈으로 날 떠나가잖아행복했던 우리 추억들도아무 일도 없었던 것처럼모든 게 다 그리워서하염없이 눈물만 흘리는데한번쯤은 하고 싶었던 말나보다 더 행복 하란 아픈 말고마웠어 나와 함께 해줘서서로 다른 이별 앞에마주선 우리모르는 척하며 지내는 게알면서도 나다 알면서도 너를 떠나려 해힘들다는 너의 눈빛에서내가 해줄 말이 없다는 게너무나도 미안해서하염없이 눈물만 흘리는데한번쯤은 하고 싶었던 말나보다 더 행복 하란 아픈 말고마웠어 나와 함께 해줘서,16087,819
김윤아,야상곡(夜想曲),2004-03-05,바람이 부는 것은더운 내 맘 삭여 주려계절이 다 가도록나는 애만 태우네꽃잎 흩날리던 늦봄의 밤 아직 남은 님의 향기이제나 오시려나나는 애만 태우네애달피 지는 저 꽃잎처럼 속절없는 늦봄의 밤이제나 오시려나 나는 애만 태우네구름이 애써 전하는 말 그 사람은 널 잊었다살아서 맺은 사람의 연 실낱 같아 부질없다꽃 지네 꽃이 지네부는 바람에 꽃 지네이제 님 오시려나 나는 그저 애만 태우네바람이 부는 것은더운 내 맘 삭여주려계절이 다 가도록나는 애만 태우네꽃잎 흩날리던 늦봄의 밤 아직 남은 님의 향기이제나 오시려나나는 애만 태우네,56080,820
엠씨더맥스 (M.C the MAX),해바라기도 가끔 목이 아프죠,2004-11-18,너무나도 잘하고 있는거야  끝까지 웃어야 해  넘치려는 눈물 흘려선 안돼  아무렇지 않은 듯 그렇게 사랑이란 좋은건가봐  니모습 눈부셔 눈을 뗄 수 없어  사랑에 빠져있는 너의 모습은  사랑에 빠진 내가 이해해야겠지  마음껏 마음대로 울기라도  했으면 차라리 편했을까  사랑한단 말이라도 했으면  보내기 쉬웠을까  넌 멀리 있어서 닿지 않아서  나에겐 더욱 아름다운 건가봐 돌아선 너를 보며 아직 기다려  언제나 같은 자릴 지켰던 것처럼  잊으려 잊어보려 노력해 봐도  잊을수 없다는 걸 알아갈 뿐이야  마음껏 마음대로 울기라도했으면 차라리 편했을까 사랑한단 말이라도 했으면 보내기 쉬웠을까 넌 멀리 있어서 닿지 않아서 나에겐 더욱 아름다운 건가봐 oh 너를 지키고 있어도 비켜 갈 인연인걸 내 가슴도 멍들고 흐르는 눈물도 또 다시 너를 찾아 다시는 그 사람 놓치지는 마 너를 웃게 하잖아 이렇게나 눈물이 흐를 만큼 너무 보기 좋은걸 아무것도 변한것은 없잖아 널 바라볼 수 있잖아 이렇게나 눈물이 흐를만큼 너무나 행복한 걸 넌 멀리 있어서 닿지 않아서 나의 사랑이 영원할 수 있잖아,34424,821
서영은,내 안의 그대,2003-08-12,슬픔은 없을 것 같아요 우산없이 비오는 거리를 걸어도 나는 행복할 것 같아요 내안에 그대가 왔잖아요 그대와 내가 마주쳤던 순간에 나는 다시 태어난거죠 그대가 없던 어제의 나는 없던 것과 같아요 기억조차 없는걸요 어떡하죠 내 심장이 고장났나봐 그대만 생각하면 터질 것만 같아요 어떡하죠 나는 그대 뒷모습에도 자꾸만 눈물이 나요 그대가 이름을 부를때 나는 내가 나인게 너무 행복하죠 그대가 날 보고 웃을땐 난 모든 세상에 감사해요 난 괜찮아요 혹시 어려워마요 다시 혼자가 된다해도 내 안에 그대 있음이 나를 살아가게 할테니 그대가 날 지킬테죠 어떡하죠 내 심장이 고장났나봐 그대가 생각하면 터질 것만 같아요 어떡하죠 나는 그대 뒷모습에도 자꾸만 눈물이 나요 내가 밤새 그댈 그리워 한다면 그대 품에 가게 될까요 잠든 그대 꿈에 나 찾아가 입맞추고 돌아올까요 어떡하죠 첫사랑은 슬프다는데 나 지금 누구라도 사랑하고 올까요 어떡하죠 사랑만도 너무 아픈데 이별은 난 모를래요- 간 주 중 -어떡하죠나는 그대 뒷모습에도 자꾸만 눈물이 나요,27755,822
에디킴,이쁘다니까,2016-12-24,자꾸 물어보는 너늘 확인하고픈 너같은 말해줘도매일 말해줘도왜 계속 물어입술이 말라오네또 식은땀이 흐르네또 정답은 알지만니가 듣고 싶은 말그 듣고 싶은 말나를 시험하는 말너 정말 이쁘다이쁘다 이쁘다니까왜 내 말믿지 않는 건데 왜말하고 말하고아무리 말해도화난 듯한너의 그 표정말 수가 없어진 너더 불안해지는 나매일 같은 퀴즈반복되는 게임난 항상 술래머리를 새로 했나오 손톱이 바뀌었을까오 감이 오질 않아니가 듣고 싶은 말그 듣고 싶은 말정말 힌트도 없는지너 정말 이쁘다이쁘다 이쁘다니까왜 내 말믿지 않는 건데 왜말하고 말하고아무리 말해도화난 듯한너의 그 표정이쁘단 말 하나론널 표현 하긴 부족하잖아baby 내 맘이라도꺼내줘야 넌 믿겠니널 정말 사랑해사랑해 사랑하는데왜 변했다고 하는건데 왜화내고 삐지고매일 토라져도그것마저 사랑스러워니가 백번 아니천번 내게 물어도정답은 늘 하난데어제도 오늘도내일 또 물어도세상에서 니가제일 이뻐,102460,823
구원찬,마음 사이,2022-07-02,북적이는 사람들 가운데난 한눈에 너를 알아볼 수 있어그대 마음사이에내가 들어가려 해요그댄 어떤가요 um내 마음과 그대의 마음이닿을 수 있다면 그럴 수 있다면그대 하루에 돋아 날 꽃처럼눈부신 날들이 될것 같은데그댄 어떤 마음일까요어쩌면 그대도나와 같은 마음일까요내 마음은 그런거에요그댈 웃게하는그런 마음 일거에요그댈 생각하는 순간엔아무것도 안들려거리를 걷다보며는모두 그대같아서바람이 불어오며는내게 다가오는 소리같아서또 그대에게로하루의 끝자락에서떠오르는 것은 어떤 마음일까요눈을 감아서 그댈 그려보며는나도 모르게 미소만그댄 어떤 마음일까요어쩌면 그대도 나와 같은 마음일까요내 마음은 그런거에요그댈 웃게하는 그런 마음 일거에요,1436,824
미도와 파라솔,벌써 일년 (Drama Ver.),2021-07-30,처음이라 그래 며칠 뒤엔괜찮아져그 생각만으로 벌써 일년이너와 만든 기념일마다슬픔은 나를 찾아와처음 사랑 고백하며설렌 수줍음과우리 처음 만난 날 지나가고너의 생일엔 눈물의 케이크촛불 켜고서 축하해I believe in youI believe in your mind벌써 일년이 지났지만일년 뒤에도 그 일년 뒤에도널 기다려너무 보고 싶어 돌아와줘말 못했어널 보는 따뜻한 그의 눈빛과니 왼손에 껴진 반지보다빛난 니 얼굴 때문에I believe in youI believe in your mind다시 시작한 널 알면서이젠 나 없이 추억을 만드는너라는걸내가 기억하는 추억은 언제나지난 웃음과 얘기와 바램들또 새로 만들 추억은 하나뿐내 기다림과 눈물 속 너일뿐I believe in youI believe in your mind다시 시작한 널 알면서이젠 나 없이 추억을 만드는너라는걸벌써 일년이 지났지만일년 뒤에도 그 일년 뒤에도널 기다려,20207,825
