가수명,노래제목,발매일,가사,좋아요수
MSG워너비(M.O.M),바라만 본다,2021-06-26,내가 너라면 다 알아볼 텐데 널 위할 사람 찾아낼 텐데 지난 오랜 시간 너의 그 곁을 지켜온 나라는 걸 내가 너였다면 참 행복할 텐데 한 사람을 다 가졌으니까 둔한 바보도 눈치챌 그 사랑을 너만 왜 모르니 너를 바라만 바라만 본다 외쳐 네 이름만 부른다 보고 싶은 맘에 너를 향한 그 발걸음 네 곁을 맴도는데 오늘도 그리고 그리워하다 애써 참았던 눈물이 흘러 그저 멀리서만 바라보다 또 소리쳐 네가 보고 싶다 네가 나라면 더 참 아팠을 텐데 슬픈 역할은 내가 맡을게 웃는 모습만 보이며 살아가 줘 내가 볼 수 있게 너를 바라만 바라만 본다 외쳐 네 이름만 부른다 보고 싶은 맘에 너를 향한 그 발걸음 네 곁을 맴도는데 오늘도 그리고 그리워하다 애써 참았던 눈물이 흘러 그저 멀리서만 바라보다 또 소리쳐 네가 보고 싶다 한 걸음 더 다가갈까 더 가까이 네게 갈까 OH 어제보다 더 내일 더 널 사랑해 I’ll make you love me someday 혼자 바라고 바라만 보다 울컥 그리움이 솟는다 바보 같은 맘에 하지 못한 그 한마디 널 사랑한다는 말 얼마나 그리고 그리워해야 내 맘 너의 곁에 닿게 될까 매일 하루 종일 너의 생각에 사무쳐 너무 보고 싶다 ,179238
김나영,널 미워하지 않길 (Prod. By 하동균),2016-12-30,그게 또 그래 이별이란 게 생각과는 늘 다르게 우리 좋았던 기억만 전부 지우고 나타나 그땐 또 그래 마음이란 게 생각처럼 되질 않고 우리 아프던 기억만 또 전부 가지고 나타나 마음에도 없었던 욕을 한참 퍼붓게 해 날 미워하지 않길 수 많은 밤도 잊지 않길 우리의 기억들은 빛나는 위로가 되기를 우린 사랑했고 아름다웠어 그게 잘 안돼 널 잊는단 게 생각 보다 쉽지 않아 우리 사랑한 기억만 또 자꾸 내 맘에 들어와 한참 동안 아무 일 없던 내 맘 힘들게 해 아직 너는 내게 남아 널 미워하지 않길 수 많은 밤도 잊지 않길 우리의 기억들은 빛나는 위로가 되기를 날 미워하지 않길 기억의 끝에 왜 우린 서로가 왜 멈춰서 사랑의 끝에 왜 우린 서로가 또 멈춰서 이별의 끝에 왜 우린 서로가 왜 멈춰서 우린 아파해야 하나 날 미워하지 않길 수 많은 밤도 잊지 않길 우리의 기억들은 빛나는 위로가 되기를 날 미워하지 않길 기억의 끝 그곳에 우린 멈춰서 사랑했던 기억은 내게서만 달아나고 어느 새부터 어쩌면 우린 서로가 아닌 남이었을까 우린 사랑했고 지금 우린 끝 ,21897
권진아,이별 뒷면,2018-02-02,좁은 골목길은 또 하염없이 멀어져 마주앉은 탁자 반대편마저도 뻗어봐도 맞닿을 수가 없어서 내 맘 언제부턴가 긴 그늘을 드리워 우리는 서로가 괜찮다 하는데 완전히 돌아갈 수는 없는 걸 감았다 떠보니 너무 멀리 와있어 이제 이별 뒷면에 서있는 우리 내게 넌 벅차도록 행복했던 꿈 이제 마지막 장을 넘겨야겠어 많이 아플 테지만 언젠가는 해야겠지 그대 이유 같은 거 찾는 얼굴 말아요 우리는 충분히 할 만큼 했는걸 그러니 더 아무 말도 말아줘 그저 날 보면서 예전처럼 웃어줘 이제 이별 뒷면에 서있는 우리 내게 넌 벅차도록 행복했던 꿈 이제 마지막 장을 넘겨야겠어 많이 아플 테지만 언젠가는 해야겠지 후회하지 마요 우리 같이 나눈 시간 그 한 순간도 의미 없는 날은 없었고 또 다시 가도 너일 테니까 이제 내게 넌 벅차도록 행복했던 꿈 이제 마지막 장을 넘겨야겠어 많이 아플 테지만 언젠가는 해야겠지 고마웠어 여기까지 ,58856
이소정,함께 했는데 이별은 나 혼자인 거야,2021-02-19,이젠 누군갈 만나는 게 난 아직은 힘이 들것 같아 다시는 믿고 싶지 않아 왜 난 사랑을 하면 할수록 뭐 그리도 어려운 건지 홀로 남겨질 내게 또 미안해 날 사랑한다며 절대 안 떠나겠다며 너를 많이 사랑했는데 모든 걸 함께 했었는데 이별은 나 혼자인 거야 왜 이런 거냐고 잠시 내가 미워진 거라면 기다릴 수 있어 네가 돌아올 때까지 날 놓지 말아 줘 애써 날 위해주는 척하는 너의 그 뻔한 표정에서 네 맘의 끝을 봤어 착각이길 바랐어 이러지 말아 줘 맘이 찢어질 것 같아 너를 많이 사랑했는데 모든 걸 함께 했었는데 이별은 나 혼자인 거야 왜 이런 거냐고 잠시 내가 싫어진 거라면 기다릴 수 있어 네가 돌아올 때까지 날 놓지 말아 줘 나만을 바라보겠단 너를 믿고 네게 모든 걸 주고 사랑했었어 그래 내가 널 보내야겠지 내가 부족한 탓일까 정말 많이 사랑했는데 네 품에 안기고 싶은데 다시 널 기다리는 내가 참 비참해 보여 다시 내게 돌아와 준다면 나 울지 않을게 그땐 내 곁에 있어줘 날 놓지 말아 줘 ,47706
포맨 (4MEN),눈 떠보니 이별이더라,2017-10-24,분명 나는 꿈을 꾼 거다 눈 떠보니 이별이더라 휴대폰을 확인해 봤더니 다시 봐도 이별이더라 헛웃음만 흘러나왔고 두 다리는 풀려 버렸고 문득 스친 네 얼굴 생각나 눈물이 하염없이 쏟아지는데 대체 무슨 짓을 한 건데 엎질러진 물에 난 젖은 채로 꼼짝 못하고 그 수많은 이별 뒤에도 넌 분명히 사랑이었다 정말 내 옆에 있었잖아 늘 여기 있었잖아 네가 날 떠나가면 그냥 가버리면 이런 식이면 나 곤란한데 눈 떠보니 이별이더라 이건 절대 현실이 아니야 눈 감으면 꿈이 될 거야 애써 부정해봐도 이별이 맞잖아 눈물마저 말라버리고 네 이름만 중얼거리고 움직이지 못하고 웅크린 채 너만 외치고 그 수많은 이별 뒤에도 넌 분명히 사랑이었다 정말 내 옆에 있었잖아 늘 여기 있었잖아 네가 날 떠나가면 그냥 가버리면 이런 식이면 나 곤란한데 꿈만 같던 사랑도 다 이별하면 현실이야 알람 하나 없이 깨어나 한 번만 더 기회를 줘 다시 하면 잘할 텐데 내가 바보 같아 화가 나 참을 수가 없다 그 수많은 이별 뒤에도 당연하게 이별이 온다 정말 가슴을 찢어 놔도 네가 날 짓밟아도 나 아닌 딴 사람과 평생 사랑해도 나는 너 아니면 곤란한데 평생 나는 너 아니면 안 되는데 눈 떠보니 이별이더라 ,115695
강고은,같은 시간 속 우린 여기까지인 거야,2021-07-24,어떻게 말을 꺼 내야 할까 내 하루 속엔 없어 네가 떨어지지 않는 내 마른 입술 끝에 이 계절을 난 끝내려고 해 갇혀버린 시간 속 연기처럼 흩어져 기억 너머 점점 멀어지는 우리 내 마음이 고장 난 듯 소리쳐도 들리지 않아 넌 답을 원했고 난 줄 수가 없어 같은 시간 속 우리는 여기까진 거야 미안해 미워해 그냥 날 놓아줘 맞지 않는 퍼즐 속 조각처럼 흩어져 기억 너머 점점 멀어지는 너를 내 마음이 고장 난 듯 소리쳐도 들리지 않아 넌 답을 원했고 나는 줄 수가 없어 같은 시간 속 우리는 여기까진 거야 미안해 미워해 그냥 날 가끔은 울컥 쏟아지는 너를 참고 차가운 말들로 돌아선 이기적인 나는 상처만 주는 날들이기에 내 사랑은 망가졌고 네 마음도 듣지를 않아 항상 답을 원했고 넌 줄 수가 없어 같은 시간 속 우리는 여기까진 거야 미안해 미워해 미워해도 돼 그만 날 놓아줘 ,4477
펀치 (Punch),안녕 내 전부였던 너,2021-03-10,안녕 안녕 이제 인사를 해야지 너와 나의 이별인데 아니 아니 나는 그게 안될것 같아 너를 보내는 일 영활보고 밥을 먹는 일도 손을 잡고 거릴 걷는 일도 앞으로는 혼자란 사실에 그게 나를 울게 만드는걸 안녕 내 전부였던 너 사랑해 너라서 난 좋았어 다신 너 같은 사람 만날수 없을거야 잘가 고마워 사실 사실 너도 많이 힘들었겠지 이별을 말하기 조금만 더 참을순 없었니 한번만 더 기횔 줄 순 없니 너에게 난 말하지 못했어 좋은 기억 마저 사라질까봐 안녕 내 전부였던 너 사랑해 너라서 난 좋았어 다신 너 같은 사람 만날수 없을거야 잘가 고마워 너무 아파서 소리도 낼 수 없어 너를 어떻게 나 잊겠니 제발 이 말만 듣고 가 진심을 다해 사랑했단 말 잊으라는 건 못해 난 그냥 이게 편해 미안 내 사랑 ,14135
전상근,오늘따라 더 미운 그대가,2021-06-13,조금은 괜찮다 생각했는데 이제는 잊혀질 때도 됐는데 아무렇지 않다가도 그대가 없단 게 아직 나에겐 어색한 걸까 벅차도록 행복했던 그때가 그리워서 추억이 녹아든 거릴 혼자 걸을 때면 자꾸만 눈앞에 그대가 선명히 보이네요 그댄 아직도 왜 내 맘속에 살고 있나요 지금 그대는 나 없이도 행복하나요 조금은 그대도 나처럼 아프긴 하나요 아직 난 이별이 서투네요 하나도 괜찮지가 않네요 오늘따라 더 미운 그대가 너무 보고 싶죠 지워보려 애를 쓰고 아무리 외면해도 추억은 더욱 아름답게 짙어져 가네요 견뎌온 시간만큼 더욱더 아픔이 커지네요 그댄 아직도 왜 내 맘속에 살고 있나요 지금 그대는 나 없이도 행복하나요 조금은 그대도 나처럼 아프긴 하나요 아직 난 이별이 서투네요 하나도 괜찮지가 않네요 오늘따라 더 미운 그대가 너무 보고 싶죠 달랠 길 없는 이 마음을 어떡하나요 난 아직도 그댈 사랑하는데 지금 그대는 이런 나를 알고 있나요 하루하루를 추억 속에 살고 있네요 아직 난 모든 게 서투네요 괜찮지가 않아요 오늘따라 더 미운 그대가 너무 보고 싶죠 오늘따라 행복할 그대가 너무 미워요 ,25819
주보라,네가 없다 (Without You),2013-02-19,서툰 작별이었는지 아련한 슬픔 속에 눈물이 멈추질 않아 너무나 어렸던 걸까 내 이기적임에 너를 보내고 말았던 걸까 우리 헤어지자고 말한지 딱 하루 뒤 잠깐의 실수였단 걸 뒤늦게 깨달아버린 순간 아침마다 듣던 네 목소리 따스한 네 품이 벌써 그리운 내가 싫어져 바보처럼 너를 버린 내가 왜 이제와서 눈물을 흘리는지 내 마음을 알 수 없는게 더 아파 서툰 사랑이었을까 나 항상 너에게 없는 사람처럼 느껴질때가 많았어 우리 헤어지자고 말한지 딱 하루 뒤 잠깐의 실수였단 걸 뒤늦게 깨달아버린 순간 아침마다 듣던 네 목소리 따스한 네 품이 벌써 그리운 내가 싫어져 바보처럼 너를 버린 내가 왜 이제와서 눈물을 흘리는지 내 마음을 알 수 없는게 더 아파 이미 뱉어버린 작별인사 안에서 우리 사랑했던 그 기억들만 아침마다 듣던 네 목소린 이제 어제처럼 오늘도 나에게 널 사랑한다 할 것만 같은데 들리지 않아 바보처럼 너를 버린 내가 왜 이제와서 눈물을 흘리는걸까 내 마음을 알 수 없는게 더 아파 ,2948
윤하 (YOUNHA),오늘 헤어졌어요,2009-12-11,새하얀 머플러에 얼굴을 묻고 붉어진 눈을 깜빡이며 널 기다렸어 무슨 얘길 하고 픈지 그 말 알 것도 같은데 모르겠어 어색한 눈인사에 목이 메이고 한 발 물러 선 우리 둘 공간에 눈물 터지고 화가 나서 소리치듯 가란 내 말에 벌써 넌 아주 멀리 달아나 버렸어 오늘 헤어졌어요 우리 헤어졌어요 내 맘 알 것 같다면 옆에서 같이 울어줘요 나는 안되나봐요 역시 아닌가봐요 얼마나 더 울어야 제대로 사랑 할까요 귓가엔 심장소리 그대 울리고 지운 니 번호 지울수록 더욱 또렷 해지고 언제부터 어디부터 멀어진 건지 분명히 어제까진 날 사랑 했는데 오늘 헤어졌어요 우리 헤어졌어요 내 맘 알 것 같다면 옆에서 같이 울어줘요 나는 안되나봐요 역시 아닌가봐요 얼마나 더 울어야 제대로 사랑 할까요 참 좋았어 너무 좋아서 더 아프죠 사랑에 또 속은 내가 미워 그냥 나오지 말 걸 그냥 아프다 할 걸 우리 사랑한 기억 그게 널 붙잡아 줄 텐데 너는 내일을 살고 나는 오늘을 살아 아무도 아무것도 날 웃게할 수는 없어 오늘 헤어졌어요 우리 헤어졌어요 내 맘 알 것 같다면 옆에서 같이 울어줘요 나는 안되나봐요 역시 아닌가봐요 얼마나 더 울어야 제대로 사랑 할까요  ,82634
